type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	8.94918	-7.66975	-2.75493	2.22646	0.1248	1.67965	-2.18368	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	1.11705
R	9.02883	-7.78536	-2.75955	2.22822	0.121484	1.68631	-2.18437	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.386987
L	9.07077	-7.93506	-2.76217	2.19332	0.0820506	1.61057	-2.24402	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.41812
R	9.1176	-8.05989	-2.72036	2.16625	0.0429773	1.5258	-2.25217	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.77541
L	9.16697	-8.2069	-2.71766	2.13985	0.0153615	1.46436	-2.28939	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.7801
R	9.24277	-8.32716	-2.72764	2.1417	0.018743	1.474	-2.29507	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.541572
L	9.27395	-8.47496	-2.72873	2.10537	-0.016768	1.39022	-2.34803	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.22382
R	9.31682	-8.60998	-2.70026	2.07428	-0.0548738	1.30283	-2.36517	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.93481
L	9.35528	-8.75676	-2.69652	2.04614	-0.0788903	1.23405	-2.39757	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.71157
R	9.48985	-8.87396	-2.76898	2.11185	0.0150988	1.42613	-2.37348	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.9231
L	9.52409	-9.03029	-2.77913	2.07692	-0.0182347	1.3473	-2.43071	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.27019
R	9.56961	-9.15607	-2.76261	2.05601	-0.0433673	1.28847	-2.44373	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.07328
L	9.60824	-9.29825	-2.76622	2.03166	-0.0642178	1.23021	-2.47761	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.449396
R	9.64649	-9.42423	-2.75055	2.00906	-0.0882569	1.16725	-2.4906	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.54718
L	9.66288	-9.57784	-2.75534	1.97003	-0.120806	1.07103	-2.53865	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.12316
R	9.72898	-9.70909	-2.77021	1.97557	-0.104032	1.09094	-2.54636	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.24459
L	9.746	-9.86281	-2.77618	1.93956	-0.132808	1.00072	-2.58954	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.918235
R	9.76468	-10.0071	-2.75306	1.89987	-0.174476	0.889694	-2.60533	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.69667
L	9.79661	-10.1539	-2.75054	1.87943	-0.184862	0.835489	-2.62057	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.201285
R	9.83601	-10.2901	-2.752	1.86558	-0.191026	0.799554	-2.63329	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.559969
L	9.84454	-10.4381	-2.75555	1.8327	-0.212658	0.713469	-2.66158	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.55665
R	9.88786	-10.5823	-2.75953	1.82944	-0.199954	0.7058	-2.66774	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.846486
L	9.90671	-10.7378	-2.76138	1.80448	-0.212843	0.639438	-2.68632	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.203648
R	9.91299	-10.8877	-2.74759	1.76466	-0.249986	0.529319	-2.69612	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.23952
L	9.91576	-11.0432	-2.74792	1.73359	-0.266093	0.445373	-2.71158	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.370252
R	9.93181	-11.1787	-2.74645	1.71652	-0.270199	0.398802	-2.71734	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0799399
L	9.92415	-11.3257	-2.75061	1.68422	-0.287238	0.311307	-2.73294	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.403875
R	9.93817	-11.4647	-2.75296	1.66964	-0.286686	0.271668	-2.73952	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0784782
L	9.92175	-11.612	-2.75722	1.63542	-0.304648	0.178067	-2.75146	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.497107
R	9.85043	-11.7499	-2.72806	1.5356	-0.419636	-0.0960038	-2.72637	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	17.0946
